ISBN,SUBJECT_ID,SUBJECT_TEXT
9788757449181,Drafting and Negotiating International Contracts,Drafting and Negotiating International Contracts
9781843116288,Drafting and Negotiating International Contracts,Drafting and Negotiating International Contracts
9783642020995,Drafting and Negotiating International Contracts,Drafting and Negotiating International Contracts
9788742000434,Drafting and Negotiating International Contracts,Drafting and Negotiating International Contracts
9789284204106,Drafting and Negotiating International Contracts,Drafting and Negotiating International Contracts
9780198836322,EU Competition Law,EU Competition Law
9788761941633,Entrepriseret (Byggeret),Entrepriseret (Byggeret)
9788761942159,Entrepriseret (Byggeret),Entrepriseret (Byggeret)
9788757432275,Finansieringsret,Finansieringsret
9788757453744,Finansieringsret,Finansieringsret
9788761943118,Finansieringsret,Finansieringsret
9788742000502,IT-ret,IT-ret
9788757452488,Immaterialret,Immaterialret
9788757459722,Immaterialret,Immaterialret
9788757454192,Insolvensret,Insolvensret
9788761943705,Insolvensret,Insolvensret
9781108741613,International Criminal Law and Procedure.,International Criminal Law and Procedure.
9780199668274,International Migration Law,International Migration Law
9780367191931,International Migration Law,International Migration Law
9781107608368,International Migration Law,International Migration Law
9788742000359,It-kontraktret,It-kontraktret
9788742000328,Juridisk metode   argumentation,Juridisk metode   argumentation
9788757443288,Juridisk metode   argumentation,Juridisk metode   argumentation
9788759327579,Juridisk metode   argumentation,Juridisk metode   argumentation
9788757446074,Konfliktmægling (Mediation),Konfliktmægling (Mediation)
9788712059776,Latin for Jurister,Latin for Jurister
9781035306749,Legal English,Legal English
9781035306756,Legal English,Legal English
9780553371314,Legal Negotiation in Theory and Practice,Legal Negotiation in Theory and Practice
9781685614560,Legal Negotiation in Theory and Practice,Legal Negotiation in Theory and Practice
9788757420869,Mediation in Legal Contexts,Mediation in Legal Contexts
9788761942906,Medieret,Medieret
9781108819220,Peaceful Settlement of International Disputes,Peaceful Settlement of International Disputes
9781316615881,Peaceful Settlement of International Disputes,Peaceful Settlement of International Disputes
9788713050734,Pensionsret,Pensionsret
9788713051014,Praktisk Aftaleret,Praktisk Aftaleret
9788713051106,Praktisk Aftaleret,Praktisk Aftaleret
9788792678669,Praktisk Aftaleret,Praktisk Aftaleret
9788757442137,Selskabsret,Selskabsret
9788761942753,Selskabsret,Selskabsret
9788757437768,Selskabsret,Selskabsret
9788757437775,Selskabsret,Selskabsret
9788761941671,Selskabsret,Selskabsret
9788761944948,Skatteret (Obligatorisk),Skatteret (Obligatorisk)
9788761941381,Skatteret (Obligatorisk),Skatteret (Obligatorisk)
9788761944979,Skatteret (Obligatorisk),Skatteret (Obligatorisk)
9788761935786,Socialret,Socialret
9788742000328,Speciale - Jurastudiet,Speciale - Jurastudiet
9788757426021,Speciale - Jurastudiet,Speciale - Jurastudiet
9788759310465,Speciale - Jurastudiet,Speciale - Jurastudiet
9788759315347,Speciale - Jurastudiet,Speciale - Jurastudiet
9788759318713,Speciale - Jurastudiet,Speciale - Jurastudiet
9788759321355,Speciale - Jurastudiet,Speciale - Jurastudiet
9788759339015,Speciale - Jurastudiet,Speciale - Jurastudiet
9788759339220,Speciale - Jurastudiet,Speciale - Jurastudiet
9788759340516,Speciale - Jurastudiet,Speciale - Jurastudiet
9788759340707,Speciale - Jurastudiet,Speciale - Jurastudiet
9788757408270,Specialiseret erstatningsret,Specialiseret erstatningsret
9788757437560,Specialiseret erstatningsret,Specialiseret erstatningsret
9788771730425,Specialiseret erstatningsret,Specialiseret erstatningsret
9788757442809,Specialiseret familieret,Specialiseret familieret
9788761942142,Specialiseret familieret,Specialiseret familieret
9788771730081,Specialiseret familieret,Specialiseret familieret
9788757454079,Specialstrafferet,Specialstrafferet
9788757452419,Straffeprocesret,Straffeprocesret
9788761942050,Straffeprocesret,Straffeprocesret
