fetch_date,semester_id,semester_text,university_id,university_text,study_id,study_text,subject_id,subject_text,isbn
2024-04-29T16:57:18.896Z,10205,6. semester,6273789,CBS - Copenhagen Business School,172,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Projektsamfundet,HA PRO Projektsamfundet,9788763447829
2024-04-29T16:57:18.896Z,10205,6. semester,6273789,CBS - Copenhagen Business School,172,HA pro. - Erhvervsøkonomi og projektledelse,HA PRO Videnskabsteori & metode,HA PRO Videnskabsteori & metode,9788741256566
2024-04-29T16:57:18.896Z,10224,2. semester,6273789,CBS - Copenhagen Business School,105,HA(fil.),HA FIL ETIK,HA FIL ETIK,9781624668159
2024-04-29T16:57:18.896Z,10224,2. semester,6273789,CBS - Copenhagen Business School,105,HA(fil.),HA FIL ETIK,HA FIL ETIK,9788741227061
2024-04-29T16:57:18.896Z,10224,2. semester,6273789,CBS - Copenhagen Business School,105,HA(fil.),HA FIL ETIK,HA FIL ETIK,9788763447812
2024-04-29T16:57:18.896Z,10224,2. semester,6273789,CBS - Copenhagen Business School,105,HA(fil.),HA FIL ETIK,HA FIL ETIK,9788790030063
2024-04-29T16:57:18.896Z,10224,2. semester,6273789,CBS - Copenhagen Business School,105,HA(fil.),HA FIL Eksternt regnskab,HA FIL Eksternt regnskab,9788712070603
2024-04-29T16:57:18.896Z,10224,2. semester,6273789,CBS - Copenhagen Business School,105,HA(fil.),HA FIL Eksternt regnskab,HA FIL Eksternt regnskab,9788712070610
2024-04-29T16:57:18.896Z,10224,2. semester,6273789,CBS - Copenhagen Business School,105,HA(fil.),HA(fil.) Statistik og sandsynlighedsregning,HA(fil.) Statistik og sandsynlighedsregning,9781292220314
2024-04-29T16:57:18.896Z,10283,2. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Forvaltningsret BJURO1505U,HA JUR Forvaltningsret BJURO1505U,9788757442878
2024-04-29T16:57:18.896Z,10283,2. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Forvaltningsret BJURO1505U,HA JUR Forvaltningsret BJURO1505U,9788757455700
2024-04-29T16:57:18.896Z,10283,2. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Makroøkonomi,HA JUR Makroøkonomi,9781292351612
2024-04-29T16:57:18.896Z,10283,2. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Markedsret,HA JUR Markedsret,9788742000489
2024-04-29T16:57:18.896Z,10283,2. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Organisationsanalyse,HA JUR Organisationsanalyse,9780273765608
2024-04-29T16:57:18.896Z,10283,2. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR retlig regulering af kreditter & sikkerhed,HA JUR retlig regulering af kreditter & sikkerhed,9788761923066
2024-04-29T16:57:18.896Z,10283,2. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR retlig regulering af kreditter & sikkerhed,HA JUR retlig regulering af kreditter & sikkerhed,9788761936219
2024-04-29T16:57:18.896Z,10283,2. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR retlig regulering af kreditter & sikkerhed,HA JUR retlig regulering af kreditter & sikkerhed,9788761942951
2024-04-29T16:57:18.896Z,10041,4. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Eksternt regnskab,HA JUR Eksternt regnskab,9781292439426
2024-04-29T16:57:18.896Z,10041,4. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Eksternt regnskab,HA JUR Eksternt regnskab,9788712070603
2024-04-29T16:57:18.896Z,10041,4. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Finansiering,HA JUR Finansiering,9781398906631
2024-04-29T16:57:18.896Z,10041,4. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Finansiering,HA JUR Finansiering,9788763447768
2024-04-29T16:57:18.896Z,10041,4. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Selskabsret,HA JUR Selskabsret,9788761941862
2024-04-29T16:57:18.896Z,10041,4. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Selskabsret,HA JUR Selskabsret,9788761942203
2024-04-29T16:57:18.896Z,10113,6. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Rets-og kontraktsøkonomi,HA JUR Rets-og kontraktsøkonomi,9780262041690
2024-04-29T16:57:18.896Z,10113,6. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Rets-og kontraktsøkonomi,HA JUR Rets-og kontraktsøkonomi,9788202494971
2024-04-29T16:57:18.896Z,10113,6. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Skatteret,HA JUR Skatteret,9788757454369
2024-04-29T16:57:18.896Z,10113,6. semester,6273789,CBS - Copenhagen Business School,103,HA(jur.),HA JUR Skatteret,HA JUR Skatteret,9788757457247
2024-04-29T16:57:18.896Z,10227,2. semester,6273789,CBS - Copenhagen Business School,139,HA(kom.),HA KOM Kvalitativ metode og videnskabsteori,HA KOM Kvalitativ metode og videnskabsteori,9788741253800
2024-04-29T16:57:18.896Z,10227,2. semester,6273789,CBS - Copenhagen Business School,139,HA(kom.),HA KOM Kvalitativ metode og videnskabsteori,HA KOM Kvalitativ metode og videnskabsteori,9788759333914
2024-04-29T16:57:18.896Z,10227,2. semester,6273789,CBS - Copenhagen Business School,139,HA(kom.),HA KOM Kvalitativ metode og videnskabsteori,HA KOM Kvalitativ metode og videnskabsteori,9788763447379
2024-04-29T16:57:18.896Z,10227,2. semester,6273789,CBS - Copenhagen Business School,139,HA(kom.),HA KOM Marketing,HA KOM Marketing,9781292248448
2024-04-29T16:57:18.896Z,10227,2. semester,6273789,CBS - Copenhagen Business School,139,HA(kom.),HA KOM Organisationskommunikation,HA KOM Organisationskommunikation,9781577666400
2024-04-29T16:57:18.896Z,10202,4. semester,6273789,CBS - Copenhagen Business School,139,HA(kom.),HA KOM Ekstern kommunikation i praksis,HA KOM Ekstern kommunikation i praksis,9788759338803
